stcode,stsmrycn,crhomeyn,crtypenm,craddr,lo,flag,crcapat,crrepre,health_tchert,craddcnt,helthtchercnt,frstcnfmdt,ewopercnt,tchertcnt,crcargb,crname,tel_no,emyn1,arcode_nm,emyn2,crspecnm,stfavcnt,nrtrroom_cnt,class_sum_num,etnrtryn,crcargbnm,pttmyn1,crchcnt,rnum,pttmyn2,crrepname,crgb,childcare_cnt,crhome,nursecnt,kinder_cnt,ewexclcrcnt,ewcnt,etnrtrynnm,plgrdco_cnt,totcnt,la,datechcareinsttyn,special_tchert
41597000002,경기도 화성시 동탄구,N,직장,경기도 화성시 동탄구 동탄대로9가길 47 ,127.0966125514635,,51,ASML어린이집,0,0,0,20260224,0,12,N,ASML어린이집,031-8055-8668,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,5,7,N,미 운행,미 운영,24,24177,미 운영,ASML코리아 대표이사,01,0,,0,0,0,0,미 운영,2,0,37.174092626004466,N,0
41590001232,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄대로2길 49 관리동(장지동, 동탄2 롯데캐슬)",127.10913564114064,,93,I-KEYUM동탄어린이집,0,0,0,20190524,1,21,N,I-KEYUM동탄어린이집,031-376-9269,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,6,15,Y,미 운행,미 운영,72,6411,미 운영,김준수,01,0,https://blog.naver.com/matata9269,0,0,0,24,운영,1,0,37.159646828250686,N,0
41590001171,경기도 화성시 병점구,N,민간,"경기도 화성시 병점구  효행로 1338-44 관리동 (반월동, 신동탄 롯데캐슬)",127.06938012794144,,97,I-KEYUM반월어린이집,0,0,0,20181204,1,21,N,I-KEYUM반월어린이집,031-8067-5353,예약불가능,경기도 화성시 병점구청,예약불가능,일반,0,7,17,Y,미 운행,미 운영,57,5104,미 운영,정시은,01,0,,0,0,0,29,운영,1,0,37.226809707504834,N,0
41590000979,경기도 화성시 병점구,N,가정,"경기도 화성시 병점구  동탄원천로 382-37 109동 103호(반월동, SK VIEW PARK아파트)",127.05555125701505,,20,SK신나는어린이집,0,0,0,20150408,1,0,N,SK신나는어린이집,031-304-3456,예약불가능,경기도 화성시 병점구청,예약불가능,일반,0,3,0,Y,미 운행,미 운영,0,12653,미 운영,임형순,01,0,,0,0,0,8,운영,0,0,37.220429470274354,N,0
41590001123,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄순환대로20길 31 관리동 (목동, e편한세상 동탄)",127.1270057823,,86,e편한세상플레이마미어린이집,0,0,0,20180306,1,21,N,e편한세상플레이마미어린이집,031-374-6577,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,5,15,Y,미 운행,미 운영,78,22322,미 운영,심순애,01,0,,0,0,0,76,운영,1,0,37.1900558557,N,0
41590001118,경기도 화성시 병점구,N,민간,"경기도 화성시 병점구  동탄지성로 256 관리동(기산동, SK VIEW PARK 2차)",127.05342305678896,,77,가온어린이집,0,0,0,20180220,1,17,N,가온어린이집,031-238-2378,예약불가능,경기도 화성시 병점구청,예약불가능,일반,0,7,17,Y,미 운행,미 운영,56,6350,미 운영,금소윤,01,0,,0,0,0,29,운영,1,0,37.21665190031451,N,0
41590001064,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄순환대로25길 21 관리동(영천동, 경남아너스빌)",127.1104087453,,25,경남키즈솔어린이집,0,0,0,20170209,1,10,N,경남키즈솔어린이집,031-377-5051,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,4,7,Y,미 운행,미 운영,24,4913,미 운영,이서윤,01,0,,0,0,0,67,운영,1,0,37.2051705094,N,0
41590000614,경기도 화성시 만세구,N,가정,"경기도 화성시 만세구  향남읍 행정중앙1로 95 1304동 101호(행정리, 향남시범살구꽃마을한일베라체)",126.924815623,,20,고운맘어린이집,0,0,0,20081217,1,4,N,고운맘어린이집,031-8059-1623,예약불가능,경기도 화성시 만세구청,예약불가능,일반,0,3,3,Y,미 운행,미 운영,5,2273,미 운영,지선경,01,0,,0,0,0,1,운영,0,0,37.1263267862,N,0
41590001385,경기도 화성시 효행구,N,가정,경기도 화성시 효행구  봉담읍 상리2길 121 엘크루루엘리안 605동 102호,126.94477935927726,,13,고은맘어린이집,0,0,0,20221220,1,5,N,고은맘어린이집,031-227-4387,예약불가능,경기도 화성시 효행구청,예약불가능,일반,0,3,4,Y,미 운행,미 운영,9,31944,미 운영,고은순,01,0,,0,0,0,15,운영,0,0,37.22902922745394,N,0
41590000352,경기도 화성시 병점구,N,가정,"경기도 화성시 병점구  병점4로 102 1009동 104호(진안동, 진안골마을주공10단지아파트)",127.04106388406073,,15,고은햇살어린이집,0,0,0,20070710,1,5,N,고은햇살어린이집,031-232-7586,예약불가능,경기도 화성시 병점구청,예약불가능,일반,0,4,3,Y,미 운행,미 운영,6,10203,미 운영,석선정,01,0,,0,0,0,1,운영,1,0,37.215995009021896,N,0
41590000040,경기도 화성시 효행구,N,가정,"경기도 화성시 효행구  효행로 229-11 107동 102호(기안동, 광도와이드빌아파트)",126.9745477,,17,광도어린이집,0,0,0,20020420,1,6,N,광도어린이집,031-233-2474,예약불가능,경기도 화성시 효행구청,예약불가능,일반,0,3,3,Y,미 운행,미 운영,6,18855,미 운영,장양희,01,0,https://www.instagram.com/kwangdo_ilde?igsh=MTZsMTNzY28zMXBkag==,0,0,0,3,운영,0,0,37.22699141,N,0
41590000860,경기도 화성시 동탄구,N,가정,경기도 화성시 동탄구  동탄반송1길 43-1 (반송동),127.063500988037,,20,굿맘아이솔어린이집,0,0,0,20120327,1,6,N,굿맘아이솔어린이집,031-613-7113,예약불가능,경기도 화성시 동탄구청,예약불가능,야간연장형,0,3,4,Y,미 운행,미 운영,8,7158,미 운영,박지윤,01,0,,0,0,0,1,운영,0,0,37.2117294773875,N,0
41590001320,경기도 화성시 효행구,N,가정,경기도 화성시 효행구  봉담읍 상리3길 87 그랑드비체 504동 101호,126.94884630148623,,13,그랑드어린이집,0,0,0,20210112,1,6,N,그랑드어린이집,031-241-2268,예약불가능,경기도 화성시 효행구청,예약불가능,일반,0,3,4,Y,미 운행,미 운영,12,14219,미 운영,이혜연,01,0,,0,0,0,22,운영,0,0,37.23041866670244,N,0
41590001073,경기도 화성시 병점구,N,가정,"경기도 화성시 병점구  효행로 1337-23 102동 101호(반월동, e편한세상)",127.06091427609822,,20,그린어린이집,0,0,0,20170331,1,7,N,그린어린이집,031-226-9600,예약불가능,경기도 화성시 병점구청,예약불가능,일반,0,3,5,Y,미 운행,미 운영,10,31637,미 운영,이수민,01,0,,0,0,0,9,운영,0,0,37.225890790237294,N,0
41590001329,경기도 화성시 동탄구,Y,법인·단체등,경기도 화성시 동탄구  동탄기흥로 593-32 ,127.09145093107582,,137,근로복지공단 화성어린이집,0,0,0,20210330,1,29,N,근로복지공단 화성어린이집,031-376-1126,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,11,27,Y,미 운행,미 운영,106,22439,미 운영,근로복지공단 이사장,01,0,https://www.comwel.or.kr/kids/hwaseong/intro.do,0,0,0,2,운영,3,0,37.21242750160163,N,0
41590001474,경기도 화성시 효행구,N,가정,경기도 화성시 효행구  비봉면 새비봉서로1길 14 303동101호,126.86687084398643,,17,금강노리숲어린이집,0,0,0,20250814,1,6,N,금강노리숲어린이집,031-8043-3397,예약불가능,경기도 화성시 효행구청,예약불가능,일반,0,3,5,Y,미 운행,미 운영,13,15228,미 운영,강영희,01,0,,0,0,0,24,운영,0,0,37.250912232885426,N,0
41590001093,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄대로12길 64 관리동(오산동, 금강펜테리움 센트럴파크 1차)",127.10860879064266,,57,금강라온어린이집,0,0,0,20170823,1,14,N,금강라온어린이집,031-378-0312,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,7,11,Y,미 운행,미 운영,49,22076,미 운영,최희정,01,0,,0,0,0,37,운영,1,0,37.18090772910675,N,0
41590001275,경기도 화성시 만세구,N,가정,경기도 화성시 만세구  수노을1로 192 금강펜테리움 센트럴파크 705동 103호,126.8202867894862,,20,금강사랑숲어린이집,0,0,0,20191226,1,6,N,금강사랑숲어린이집,031-355-1397,예약불가능,경기도 화성시 만세구청,예약불가능,일반,0,4,4,Y,미 운행,미 운영,15,13747,미 운영,엄숙희,01,0,https://cafe.naver.com/kgloveforest,0,0,0,3,운영,0,0,37.28347511823864,N,0
41590001095,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄면 동탄산척로2길 56 관리동, 금강펜테리움센트럴파크 2차",127.11576771021917,,87,금강숲어린이집,0,0,0,20170911,1,18,N,금강숲어린이집,070-7761-7777,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,10,12,Y,미 운행,미 운영,85,4791,미 운영,임일산,01,0,,0,0,0,45,운영,1,0,37.177881291747475,N,0
41590001143,경기도 화성시 동탄구,N,가정,"경기도 화성시 동탄구  동탄순환대로20길 45 2133동 104호(목동, 동탄금강펜테리움센트럴파크 4차)",127.12894811160313,,20,금강아이뜰어린이집,0,0,0,20180502,1,2,N,금강아이뜰어린이집,031-377-5881,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,4,1,Y,미 운행,미 운영,1,14307,미 운영,김기숙,01,0,,0,0,0,4,운영,0,0,37.18845844344891,N,0
41590001049,경기도 화성시 동탄구,N,가정,"경기도 화성시 동탄구  동탄대로12길 64 1827동 101호(오산동, 금강펜테리움)",127.10740995157745,,20,금강열매어린이집,0,0,0,20161025,1,5,N,금강열매어린이집,031-8050-8239,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,4,4,Y,미 운행,미 운영,16,24110,미 운영,황민,01,0,,0,0,0,10,운영,0,0,37.18124671730747,N,0
41590001165,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄순환대로20길 45 (목동, 동탄 금강펜테리움 센트럴파크 4차)",127.12795858664875,,80,금강자연어린이집,0,0,0,20181023,1,16,N,금강자연어린이집,031-373-2371,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,8,14,Y,미 운행,미 운영,56,4587,미 운영,조신우,01,0,,0,0,0,41,운영,1,0,37.189383095599894,N,0
41590001134,경기도 화성시 동탄구,N,민간,"경기도 화성시 동탄구  동탄대로시범길 235 관리동(청계동, 동탄역 시범 금강펜테리움 센트럴파크3차)",127.10351860491478,,22,금강펜테리움어린이집,0,0,0,20180327,1,8,N,금강펜테리움어린이집,031-376-8075,예약불가능,경기도 화성시 동탄구청,예약불가능,일반,0,3,8,Y,미 운행,미 운영,15,22187,미 운영,김소이,01,0,,0,0,0,31,운영,0,0,37.20144728059122,N,0
41590000150,경기도 화성시 동탄구,N,가정,경기도 화성시 동탄구  금반1길 11 ,127.0709523183883,,20,금반숲어린이집,0,0,0,20060517,1,4,N,금반숲어린이집,031-8003-5777,예약불가능,경기도 화성시 동탄구청,예약불가능,야간연장형,0,3,3,Y,미 운행,미 운영,6,9575,미 운영,이은덕,01,0,led4745@naver.com,0,0,0,0,운영,3,0,37.188023052362965,N,0
41590001131,경기도 화성시 만세구,N,가정,경기도 화성시 만세구  수노을1로 235 102동101호,126.823156889369,,20,금빛어린이집,0,0,0,20180323,1,6,N,금빛어린이집,031-355-7128,예약불가능,경기도 화성시 만세구청,예약불가능,일반,0,4,5,Y,미 운행,미 운영,9,5403,미 운영,정민경,01,0,,0,0,0,6,운영,0,0,37.280963291547195,N,0
